tag,batch,growout_site,region,length_mm,sample_status,tank,treatment,death,death_date,notes
B697,ULM-3-CCB,CCB,S,54,O,7,L,Y,10/20/2022,
B698,ULM-3-CCB,CCB,S,44,SO,11,H,Y,10/21/2022,
B699,ULM-3-CCB,CCB,S,50,VSO,1,L,Y,10/24/2022,
B700,ULM-3-CCB,CCB,S,44,VSO,4,L,Y,10/20/2022,
B701,ULM-3-CCB,CCB,S,62,O,8,C,,,
B702,ULM-3-CCB,CCB,S,39,G,11,H,,,
B703,ULM-3-CCB,CCB,S,46,O,2,H,,,
B704,ULM-3-CCB,CCB,S,45,O,5,H,Y,10/22/2022,
B705,ULM-3-CCB,CCB,S,45,O,7,L,Y,10/22/2022,
B706,ULM-3-CCB,CCB,S,0,O,7,L,Y,10/4/2022,Dead before measurement
B707,ULM-3-CCB,CCB,S,56,O,4,L,Y,10/14/2022,
B708,ULM-3-CCB,CCB,S,46,SO,2,H,Y,11/3/2022,
B709,ULM-3-CCB,CCB,S,57,O,4,L,Y,10/17/2022,
B710,ULM-3-CCB,CCB,S,42,O,9,L,Y,10/18/2022,
B711,ULM-3-CCB,CCB,S,47,O,9,L,Y,10/19/2022,
B712,ULM-3-CCB,CCB,S,40,O,11,H,Y,10/20/2022,
B713,ULM-3-CCB,CCB,S,50,O,9,L,Y,10/22/2022,
B714,ULM-3-CCB,CCB,S,60,O,4,L,Y,10/22/2022,
B715,ULM-3-CCB,CCB,S,61,O,12,C,,,
B716,ULM-3-CCB,CCB,S,44,O,6,H,Y,11/4/2022,
B717,ULM-3-CCB,CCB,S,52,O,9,L,Y,10/23/2022,
B718,ULM-3-CCB,CCB,S,43,O,1,L,Y,10/20/2022,
B719,ULM-3-CCB,CCB,S,66,O,3,C,,,
B720,ULM-3-CCB,CCB,S,49,O,1,L,Y,10/19/2022,
B721,ULM-3-CCB,CCB,S,48,O,3,C,,,
B722,ULM-1-CCB,CCB,S,62,O,4,L,Y,10/17/2022,
B723,ULM-1-CCB,CCB,S,59,O,6,H,,,
B724,ULM-1-CCB,CCB,S,67,VSO,1,L,Y,10/18/2022,
B725,ULM-1-CCB,CCB,S,65,O,12,C,,,
B726,ULM-1-CCB,CCB,S,68,G,12,C,,,
B727,ULM-1-CCB,CCB,S,67,O,11,H,,,
B728,ULM-1-CCB,CCB,S,67,VSO,4,L,Y,10/23/2022,
B729,ULM-1-CCB,CCB,S,71,VSO,2,H,Y,10/30/2022,
B730,ULM-1-CCB,CCB,S,58,O,10,C,,,
B731,ULM-1-CCB,CCB,S,69,C,3,C,,,
B732,ULM-1-CCB,CCB,S,66,C,3,C,,,
B733,ULM-1-CCB,CCB,S,59,O,2,H,Y,11/3/2022,
B734,ULM-1-CCB,CCB,S,50,C,5,H,Y,11/1/2022,
B735,ULM-1-CCB,CCB,S,65,G,8,C,,,
B736,ULM-1-CCB,CCB,S,60,O,8,C,,,
B737,ULM-1-CCB,CCB,S,70,C,9,L,Y,10/19/2022,
B738,ULM-1-CCB,CCB,S,70,VSO,9,L,Y,10/18/2022,
B739,ULM-1-CCB,CCB,S,62,SO,11,H,,,
B740,ULM-1-CCB,CCB,S,66,C,8,C,,,
B741,ULM-1-CCB,CCB,S,59,O,10,C,,,
B742,ULM-1-CCB,CCB,S,51,O,5,H,,,
B743,ULM-1-CCB,CCB,S,54,O,1,L,Y,10/18/2022,
B744,ULM-1-CCB,CCB,S,65,SO,7,L,Y,10/19/2022,
B745,ULM-1-CCB,CCB,S,56,VSO,7,L,Y,10/19/2022,
B746,ULM-1-CCB,CCB,S,54,O,12,C,,,
B747,ULM-1-CCB,CCB,S,64,O,3,C,,,
